page,baseline_best,1040_Main_Pg1,1040_Main_Pg2,1040_Schedule_1_PG_1,1040_Schedule_1_PG_2,1040_Schedule_A_NET_LOSS_STMT,1040_Schedule_C,1040_Schedule_D_PG_1,1040_Schedule_D_PG_2,1040_Schedule_D_STMT,1040_Schedule_E_PG_1,1040_Schedule_E_PG_2,1040_Schedule_E_STMT_PG_1,1040_Schedule_E_STMT_PG_2,1040_Schedule_F,4562,4797_PG_1,4797_PG_2,4835,4952,6251_PFT_LOSS,8949_PG_1,8949_PG_2,8960_NET_LOSS_COMPUTATION,ALT_MIN_REPORT,ALT_Tax_Loss_WORKSHEET,CAL_FARM_RENTAL_INCOME_EXPENSES,CAL_PASS_ACT_LOSS_LIMIT_SLIDE_1,CAL_PASS_ACT_LOSS_LIMIT_SLIDE_3,CAL_RENTAL_ROYALTY_INC_STMT,CAL_RES_INC_TAX_PG_1,CAL_RES_INC_TAX_PG_2,CAL_RES_INC_TAX_PG_3,CAL_RES_INC_TAX_PG_4,CAL_RES_INC_TAX_PG_5,CAL_RES_INC_TAX_PG_6,CAL_SCHED_3526,CAL_SCHED_3801_PG_1,CAL_SCHED_3801_PG_2,CAL_SCHED_3801_PG_3,CAL_SCHED_3801_PG_4,CAL_SCHED_3805V_PG_1,CAL_SCHED_3805V_PG_2,CAL_SCHED_3805V_PG_3,CAL_SCHED_CA_PG_1,CAL_SCHED_CA_PG_2,CAL_SCHED_CA_PG_3,CAL_SCHED_CA_PG_4,CAL_SCHED_CA_PG_5,CAL_SCHED_CA_PG_6,CAL_SCHED_D1_PG_1,CAL_SCHED_D1_PG_2,CAL_SCHED_D_PG_1,CAL_SCHED_D_PG_2,Form_6251_PG_1,Form_6251_PG_2,Form_8582_Pg_1,Form_8582_Pg_2,Form_8582_Pg_3,NOL_DEDUCTUION,NOL_DEDUCTUION_STMT,Other,STATEMENT
117,CAL_SCHED_3801_PG_3,0.2378265662372206,0.326290519207191,0.2781163468955239,0.18979079237670857,0.22438900554707397,0.27116045106642506,0.3671126656456327,0.24912561454722182,0.19834462105506984,0.29653870064838306,0.5554133243433964,0.5069376358234745,0.43801121534858206,0.2833331960139326,0.24817892955598564,0.4070582942024642,0.370882466651119,0.2695828870272957,0.1696019255789521,0.40062947645698993,0.25968281208430744,0.34889555197819955,0.3278250125661202,0.3172432537361306,0.3688521358029902,0.26986225744234316,0.46778900247647703,0.9921464376669912,0.148286235272659,0.14785124017039344,0.16674298064211351,0.29114060513620216,0.22377866079296221,0.24579585795795045,0.19899714487523767,0.20972605454103305,0.4601881312514969,0.34640704118770604,1.000000000000001,0.634655341872835,0.339707501280681,0.38501359775255223,0.308339565927839,0.23153225466022578,0.29108644289848185,0.3227244561556474,0.2696934710384221,0.2790587997182077,0.2931549098559618,0.3494018247902075,0.2868316495509548,0.20423243601250923,0.4891763270133703,0.25808627516230126,0.20080387447414588,0.47715130987034615,0.6643802398229773,0.5945026567153859,0.1778549656550138,0.19834462105506984,0.3653245443044896,0.37534917267124207
118,CAL_SCHED_3801_PG_4,0.2412223404488008,0.3683867507022265,0.3269833527531709,0.26458946686630047,0.2707325902861645,0.28140425762999377,0.35841944061504627,0.2521816073158568,0.18788758748155837,0.3002008862433245,0.5744048857031192,0.4915445753429646,0.41791897229617864,0.2526497285851155,0.19382127048674783,0.3717233918878158,0.36045470367703747,0.26120744113220334,0.17801922139603937,0.506960502857499,0.30036677092175557,0.3896045609592226,0.40374629687019103,0.39121273739190177,0.389534035552647,0.26142774695997834,0.4125524567292972,0.6380670150652755,0.14384788036907226,0.12774406872986444,0.1715602103038054,0.2718160896894107,0.21234161117758904,0.20933655536771595,0.17345095259555668,0.2361489525108842,0.4075898332707789,0.3304513047620776,0.6300806483390914,0.9880122726569536,0.32073733279909256,0.3813269275907198,0.2776150970106953,0.24713402171756352,0.31702370627386744,0.3173528869657654,0.27682287719713367,0.29331693430312156,0.3022074462533382,0.33094107539324424,0.27362104137049076,0.19886802528205777,0.4748089272234499,0.34617186227946617,0.26138253542177636,0.3772294962681651,0.5338887185676423,0.905179651954116,0.2496077124187584,0.18788758748155837,0.3963003694495355,0.43111235543453197
119,CAL_SCHED_3801_PG_4,0.23844243956504574,0.36140275824615264,0.3350713083907901,0.2661782689944552,0.26554986524973145,0.2816472972734088,0.3528502412988992,0.2417718938141537,0.18942256701036103,0.3169394231382715,0.5835793509790659,0.5156216828721762,0.44084219180847983,0.25213064186974243,0.19103237094797443,0.36773046655937863,0.35030117272059935,0.27003143108772726,0.1754319425554126,0.47741286262512816,0.2925883636020077,0.3747833022352511,0.40297405528537966,0.3709370484280702,0.37787618397060246,0.2702286805496581,0.4278942604551159,0.6382976899036511,0.16741608393617877,0.13067647027403326,0.17103455710164595,0.27213795549557535,0.21132664709892507,0.20931895780075946,0.17207671774724048,0.23537065209419814,0.42284918590943843,0.31993171195794806,0.6320140422281524,0.9964164391743422,0.3138152304635814,0.3788969223918233,0.2695088214742155,0.2467546972251672,0.31543101988232297,0.3144692429995652,0.2761222258465918,0.29244542470611523,0.3027240727076804,0.32158590611617355,0.26011635334405686,0.1939453601119716,0.4806988595256544,0.34560295239275757,0.24934322126475944,0.38270360740563875,0.5283269261253346,0.9138995523201648,0.25129111653684366,0.18942256701036103,0.38443648032780625,0.4140486880763609
120,CAL_SCHED_3801_PG_4,0.23939176991271027,0.36238756436774566,0.3328057740886604,0.26485028894417884,0.26661883993478297,0.28286926016258696,0.35098868638972525,0.2428083900771224,0.1894874338950591,0.3012782960147294,0.5750104317967311,0.49592624197918456,0.4291518832333926,0.25533723224651655,0.19174460565236912,0.3693852157560907,0.35027252742356585,0.26325785648177136,0.1760311836017513,0.47482051884098203,0.2915972273511101,0.3736899825921767,0.40411653445671736,0.37230040260061703,0.37567590360986985,0.2634568637157847,0.4197638033147071,0.6375474553025187,0.14176254073699512,0.1311137590862209,0.17165140501217918,0.27266128360538766,0.211518545821784,0.20948632964294395,0.17239157466805266,0.2361962294694121,0.4146438732165272,0.3058415021109913,0.6312176393255498,0.9961655147796684,0.3150378160715147,0.378254050374916,0.27065661710560746,0.2465818212119711,0.31468601767412135,0.315100938465511,0.27356120537371326,0.29142347071831654,0.30329846177914793,0.32315629575053895,0.26052013542081703,0.19343862428535352,0.482311597862788,0.34613430063390926,0.25040257132197047,0.37541839520161707,0.52792486156824,0.91494524016707,0.25220161594164825,0.1894874338950591,0.37279883730877184,0.3971391347589226
121,CAL_SCHED_3801_PG_4,0.23625245504763812,0.3569418603800119,0.330870074858906,0.2608168280271117,0.262513791609328,0.27863274933855725,0.34865026295940327,0.2454856424758173,0.1786473880174758,0.2978569369126901,0.5767523296149375,0.5011381438001594,0.43599695963330765,0.24763676868674583,0.18640666449436086,0.36671831943196714,0.3482521606337454,0.26248566508520593,0.17405393213556886,0.4672450638194725,0.2869055679974334,0.3608565949033239,0.39991935808862966,0.3581156206007772,0.3769651165627252,0.2626900780436651,0.42422244497180955,0.6336121430807189,0.13777532955516425,0.1296792651926722,0.17382870604794562,0.2710278126944568,0.2079329918427358,0.20693083023568093,0.16828370978250967,0.23068725938404427,0.4189724201326305,0.3040389755203381,0.6320655732355989,0.9955299124141231,0.3134475297431118,0.3752480543929064,0.26257299743223966,0.24264704548378851,0.31036159264821456,0.31152877457855943,0.268901069891868,0.2855999232435834,0.30020572156374825,0.32023888244199744,0.25354671625522907,0.18946515588828783,0.47675102049512597,0.34574328397447657,0.24816131855366783,0.3768465484531339,0.5233474392378571,0.9184502525765486,0.24909199226778908,0.1786473880174758,0.36113138245616144,0.3958969221739167
122,CAL_SCHED_3801_PG_4,0.23625245504763812,0.3569418603800119,0.330870074858906,0.2608168280271117,0.262513791609328,0.27863274933855725,0.34865026295940327,0.2454856424758173,0.1786473880174758,0.2978569369126901,0.5767523296149375,0.500005810714913,0.4345442665684424,0.24763676868674583,0.18640666449436086,0.36738835932649755,0.3482521606337454,0.26248566508520593,0.17405393213556886,0.4672450638194725,0.2869055679974334,0.3608565949033239,0.39991935808862966,0.3581156206007772,0.3769651165627252,0.2626900780436651,0.42422244497180955,0.6336121430807189,0.13777532955516425,0.1296792651926722,0.17382870604794562,0.2710278126944568,0.2079329918427358,0.20693083023568093,0.16828370978250967,0.23068725938404427,0.4189724201326305,0.3040389755203381,0.6320655732355989,0.9955299124141231,0.3134475297431118,0.3752480543929064,0.26257299743223966,0.24264704548378851,0.31036159264821456,0.31152877457855943,0.268901069891868,0.2855999232435834,0.30020572156374825,0.32023888244199744,0.25354671625522907,0.18946515588828783,0.47675102049512597,0.34574328397447657,0.24816131855366783,0.3768465484531339,0.5233474392378571,0.9184502525765486,0.24909199226778908,0.1786473880174758,0.3607652658612648,0.39506096754922
123,CAL_SCHED_3805V_PG_1,0.28850136281528194,0.28490659802679985,0.2749188641383151,0.20608870614634023,0.6098939547949652,0.334864060041417,0.3307919849910327,0.3233931293793646,0.12140456932329277,0.2881166931285265,0.3540881563319253,0.24136407907837854,0.22865480099435742,0.2822585709748774,0.3189616321749682,0.4037685786088826,0.2675758588513798,0.2963413956238427,0.25402734163731766,0.23837962476128766,0.2731673698455763,0.24685267046693796,0.5724033090999815,0.1744955908296459,0.4578570196170451,0.29469025140838656,0.48311167515903236,0.33566868530158844,0.12805253691630847,0.3045571673079772,0.29549968767223345,0.2799017922105056,0.16537138811518065,0.22192859421966032,0.281428205065154,0.41926448648715453,0.4842949403034001,0.36821702288672636,0.33517471244129954,0.314157919224621,0.999192345626331,0.6035455057995891,0.2957604381871624,0.30646350165106473,0.17509659278933626,0.2226051757566088,0.1713246023544456,0.22920582612184343,0.23072730267539548,0.47779284594608856,0.20891833148901004,0.2452847864406029,0.37551467301100583,0.3818743511576014,0.40612984386099193,0.4393549984739571,0.3096040957568985,0.317255987644079,0.5709930466505936,0.12140456932329277,0.22210209612313772,0.24838598255277922
124,CAL_SCHED_3805V_PG_2,0.23144557658400328,0.31574692734654575,0.17746588551680262,0.13576743625510657,0.5506119655592259,0.2586368139815006,0.249313185645473,0.228937373211831,0.2136637577951637,0.23737853192144986,0.39891372747818277,0.29418136796672834,0.3009744636217353,0.220849110827956,0.30841529645545596,0.3317073325167349,0.4175400937442473,0.2192140464822427,0.18634240970059474,0.25658920293668463,0.2363396460644427,0.32063177619538435,0.6583441143366987,0.14783348965264115,0.3645044913794713,0.22413362016738775,0.3651064899099235,0.37878182549576284,0.11771062496276802,0.28978038875151385,0.2557924130763563,0.3269967645208335,0.19259854476802224,0.2510676218742645,0.21571936743783515,0.28148186781560613,0.35969184513879526,0.3730567763038375,0.3850135977525522,0.3797419576613351,0.6067535764165074,0.9999999999999994,0.3436849628744493,0.2872174994108796,0.2838411673163648,0.31721712452198964,0.2707540484909091,0.3256395679739579,0.32675142174269567,0.388374391439811,0.32360795287296007,0.24535369655602304,0.459897837656953,0.2540716402707568,0.3468480885489015,0.37201110928515513,0.3681329365743007,0.3729524996139229,0.4451519053491571,0.2136637577951637,0.2572602645223191,0.20010281987659861
125,CAL_SCHED_3805V_PG_3,0.18085738220521436,0.2584943563741449,0.18711706017506266,0.152237742641782,0.21392024642258672,0.22935964592094388,0.20247752153388132,0.14008073393862072,0.24242131370589326,0.17680381752485347,0.4651556209961476,0.29650179667600934,0.25438958598557576,0.2031260917818808,0.17588546652785286,0.20455825287405827,0.2660061277174441,0.19051522094165918,0.15387318762061858,0.20785596497899322,0.13728547045285988,0.2663997900625891,0.28449741388094274,0.21490392351682985,0.19969806087314468,0.18716498335128462,0.482012575440713,0.3156055806531973,0.0840916679144699,0.3459069811991925,0.5063868639889668,0.4507670428724042,0.22048870211975125,0.27366999785743784,0.22457472926850375,0.26463388606140636,0.47614027231506373,0.18161138049520498,0.30897806096485847,0.2701473669778688,0.2990367944166221,0.3444275016612728,0.9995399772442005,0.6538116046871418,0.7084279881728284,0.6996777499205675,0.6938376836371529,0.8082421793874895,0.8381027821311514,0.5732755250934974,0.8567595526318792,0.679062789592223,0.5103346594763909,0.1681261974952604,0.15846671983314914,0.22840516978779385,0.34552295616948386,0.29561997306526955,0.22887473391087418,0.24242131370589326,0.21420822954636853,0.156763790524035
126,CAL_RENTAL_ROYALTY_INC_STMT,0.2931320554974275,0.17411287108235132,0.41317219989220144,0.29736942700900104,0.26747371091269034,0.2828493387635811,0.25980503787163495,0.23522043093557604,0.07242528353684405,0.49006112159636434,0.24477746946878517,0.30350411372164565,0.2589377953742235,0.28224055189202363,0.2502290570215094,0.28878633797033,0.13540380938568616,0.37786155147491507,0.3037354009765014,0.14954296315467258,0.210443782432223,0.10291180256275877,0.128524336176961,0.15793835776773957,0.20184373314168125,0.3813069108563154,0.18251802718961857,0.1475684954424768,0.9999999999999996,0.2262953698716089,0.23316887986397902,0.1086262102092232,0.06102322794089939,0.10100683674613276,0.12204003718803348,0.1401561763896741,0.18466541515439072,0.1382509782326712,0.14828623527265908,0.15108089271696273,0.1276995868225818,0.11771062496276807,0.08389946295703513,0.11079903876794096,0.12482204256121275,0.10422700190468606,0.12257986558516763,0.11277555361008582,0.09661368840110979,0.11343731950179231,0.07705773882657062,0.06926517206720913,0.10425219506963934,0.2427854030417807,0.2056325321507612,0.3132434565997387,0.1578779871151511,0.14963399170801014,0.16349876476642533,0.07242528353684405,0.20288788552639528,0.3118674514060446
127,CAL_FARM_RENTAL_INCOME_EXPENSES,0.5741270691650602,0.4430972435054775,0.616395418671472,0.4973999430423798,0.3802677991630325,0.6409794771928037,0.512446338213573,0.4392176735445763,0.14219112523513808,0.5873142387088145,0.4238826069471761,0.2589692249656781,0.24313649568284854,0.7129835936168064,0.4410668203194446,0.4987855761625377,0.301087388434031,0.8758047381077736,0.4628099670873641,0.21311915304257734,0.44151739567771997,0.30726214632012916,0.20958540188247307,0.28690452211640116,0.2163053912629379,0.877500000000001,0.32741792919687684,0.27571809110890977,0.3813069108563155,0.3992729603739754,0.3931777953401199,0.37518071862099367,0.15570627255468839,0.2987966340187591,0.24954239191895494,0.3604367525308489,0.32614092446602005,0.2668649890811069,0.26986225744234354,0.26723420763361716,0.29664211322365797,0.22413362016738797,0.18743756156041225,0.26860363112457475,0.21609325269104165,0.2546819649578341,0.20795645267878052,0.22544500095933562,0.24633734646554817,0.2841141573782625,0.1405789938394209,0.10861915449546047,0.18368912803324217,0.5383897766346596,0.47875172307417535,0.5042468463664639,0.3743212964362529,0.3367859990418498,0.2705721491225764,0.14219112523513808,0.2558113212246619,0.25952626222504593
